12/1/1970,42,33,0
12/2/1970,56,34,0
12/3/1970,53,38,0
12/4/1970,57,38,0
12/5/1970,39,22,2
12/6/1970,35,11,2
12/7/1970,17,11,3
12/8/1970,20,10,5
12/9/1970,42,17,3
12/10/1970,44,32,0
12/11/1970,36,28,0
12/12/1970,45,30,0
12/13/1970,45,30,T
12/14/1970,32,23,3
12/15/1970,31,16,2
12/16/1970,30,15,2
12/17/1970,35,23,4
12/18/1970,36,22,3
12/19/1970,45,26,2
12/20/1970,47,27,T
12/21/1970,30,20,T
12/22/1970,31,25,5
12/23/1970,M,29,2
12/24/1970,46,15,1
12/25/1970,20,14,1
12/26/1970,M,M,0
12/27/1970,32,5,8
12/28/1970,20,11,9
12/29/1970,15,10,9
12/30/1970,21,12,9
12/31/1970,19,10,8
12/1/1971,29,16,11
12/2/1971,23,16,12
12/3/1971,23,9,11
12/4/1971,25,11,10
12/5/1971,33,13,10
12/6/1971,33,21,10
12/7/1971,49,32,7
12/8/1971,51,41,3
12/9/1971,44,39,T
12/10/1971,48,39,T
12/11/1971,69,39,0
12/12/1971,42,31,0
12/13/1971,51,31,0
12/14/1971,46,25,0
12/15/1971,54,25,0
12/16/1971,61,43,0
12/17/1971,45,30,0
12/18/1971,31,9,4
12/19/1971,24,10,5
12/20/1971,M,20,1
12/21/1971,42,37,T
12/22/1971,38,17,T
12/23/1971,29,16,T
12/24/1971,46,18,0
12/25/1971,44,26,0
12/26/1971,M,M,0
12/27/1971,M,47,0
12/28/1971,56,46,0
12/29/1971,47,18,T
12/30/1971,36,18,0
12/31/1971,59,20,0
2/1/1971,4,-9,17
2/2/1971,0,-11,17
2/3/1971,10,-11,15
2/4/1971,20,7,13
2/5/1971,31,13,14
2/6/1971,46,21,12
2/7/1971,35,21,12
2/8/1971,29,23,15
2/9/1971,29,7,24
2/10/1971,8,-3,24
2/11/1971,18,-1,22
2/12/1971,40,5,19
2/13/1971,50,33,13
2/14/1971,37,2,25
2/15/1971,15,2,24
2/16/1971,22,14,23
2/17/1971,26,15,23
2/18/1971,41,22,20
2/19/1971,46,30,18
2/20/1971,50,35,16
2/21/1971,52,31,12
2/22/1971,32,30,12
2/23/1971,39,29,11
2/24/1971,30,23,14
2/25/1971,27,24,14
2/26/1971,43,25,12
2/27/1971,52,38,9
2/28/1971,50,30,7
3/1/1971,43,24,6
3/2/1971,47,24,5
3/3/1971,37,25,6
3/4/1971,27,10,20
3/5/1971,20,9,20
3/6/1971,39,19,16
3/7/1971,41,23,13
3/8/1971,27,14,15
3/9/1971,17,10,19
3/10/1971,26,10,18
3/11/1971,37,24,19
3/12/1971,34,20,19
3/13/1971,45,31,15
3/14/1971,52,35,11
3/15/1971,58,41,7
3/16/1971,62,36,4
3/17/1971,40,13,7
3/18/1971,25,14,5
3/19/1971,38,14,5
3/20/1971,34,22,9
3/21/1971,26,20,14
3/22/1971,40,20,11
3/23/1971,35,16,12
3/24/1971,23,15,18
3/25/1971,24,6,18
3/26/1971,31,9,14
3/27/1971,33,17,13
3/28/1971,M,M,13
3/29/1971,54,23,8
3/30/1971,39,21,8
3/31/1971,32,15,7
1/1/1972,29,18,T
1/2/1972,39,27,1
1/3/1972,39,23,1
1/4/1972,40,22,T
1/5/1972,42,22,3
1/6/1972,23,12,5
1/7/1972,24,12,4
1/8/1972,25,18,4
1/9/1972,36,18,4
1/10/1972,43,31,T
1/11/1972,48,38,0
1/12/1972,42,26,0
1/13/1972,41,25,0
1/14/1972,64,12,2
1/15/1972,24,4,2
1/16/1972,5,-17,3
1/17/1972,18,-16,3
1/18/1972,37,18,2
1/19/1972,49,18,0
1/20/1972,42,27,0
1/21/1972,50,28,0
1/22/1972,33,27,0
1/23/1972,49,33,0
1/24/1972,48,30,0
1/25/1972,52,28,0
1/26/1972,29,7,0
1/27/1972,24,6,T
1/28/1972,25,6,4
1/29/1972,22,10,4
1/30/1972,26,11,M
1/31/1972,19,1,M
12/1/1972,33,21,14
12/2/1972,35,24,15
12/3/1972,45,26,8
12/4/1972,40,34,5
12/5/1972,52,37,2
12/6/1972,55,49,0
12/7/1972,55,12,0
12/8/1972,25,10,0
12/9/1972,48,24,0
12/10/1972,51,37,0
12/11/1972,46,17,0
12/12/1972,25,16,0
12/13/1972,55,23,0
12/14/1972,38,24,0
12/15/1972,33,25,0
12/16/1972,33,8,1
12/17/1972,9,4,6
12/18/1972,22,6,6
12/19/1972,34,19,4
12/20/1972,41,31,2
12/21/1972,40,34,T
12/22/1972,39,33,T
12/23/1972,38,33,0
12/24/1972,40,36,0
12/25/1972,39,35,0
12/26/1972,M,M,0
12/27/1972,36,22,2
12/28/1972,27,20,1
12/29/1972,27,21,1
12/30/1972,33,20,1
12/31/1972,47,32,0
2/1/1972,21,0,4
2/2/1972,30,20,4
2/3/1972,28,22,4
2/4/1972,31,7,18
2/5/1972,9,-4,18
2/6/1972,28,-2,16
2/7/1972,30,10,20
2/8/1972,12,-4,18
2/9/1972,14,-1,18
2/10/1972,21,0,17
2/11/1972,25,-1,16
2/12/1972,33,10,15
2/13/1972,43,28,18
2/14/1972,32,25,24
2/15/1972,43,22,22
2/16/1972,44,20,21
2/17/1972,27,15,21
2/18/1972,24,17,22
2/19/1972,28,18,30
2/20/1972,19,6,31
2/21/1972,20,3,31
2/22/1972,42,17,25
2/23/1972,18,0,24
2/24/1972,37,4,25
2/25/1972,33,25,24
2/26/1972,41,25,22
2/27/1972,33,12,25
2/28/1972,40,22,23
2/29/1972,51,31,19
3/1/1972,58,44,15
3/2/1972,65,50,10
3/3/1972,58,15,6
3/4/1972,27,6,8
3/5/1972,31,9,10
3/6/1972,21,5,12
3/7/1972,40,6,11
3/8/1972,58,27,6
3/9/1972,28,6,12
3/10/1972,23,6,15
3/11/1972,25,10,12
3/12/1972,51,15,9
3/13/1972,53,44,3
3/14/1972,M,31,2
3/15/1972,M,24,4
3/16/1972,M,24,2
3/17/1972,47,30,1
3/18/1972,47,25,2
3/19/1972,40,20,2
3/20/1972,39,21,2
3/21/1972,50,24,1
3/22/1972,62,33,1
3/23/1972,48,15,2
3/24/1972,25,10,5
3/25/1972,31,8,5
3/26/1972,29,15,5
3/27/1972,43,16,4
3/28/1972,40,20,3
3/29/1972,41,21,2
3/30/1972,44,26,1
3/31/1972,40,28,1
1/1/1973,58,29,0
1/2/1973,39,19,0
1/3/1973,27,16,0
1/4/1973,M,M,T
1/5/1973,M,M,T
1/6/1973,M,M,0
1/7/1973,M,M,1
1/8/1973,M,2,1
1/9/1973,16,0,1
1/10/1973,17,-1,2
1/11/1973,16,4,2
1/12/1973,20,3,3
1/13/1973,16,2,2
1/14/1973,33,12,1
1/15/1973,30,24,2
1/16/1973,30,22,2
1/17/1973,43,22,1
1/18/1973,50,32,T
1/19/1973,58,39,T
1/20/1973,45,23,1
1/21/1973,24,9,2
1/22/1973,36,13,1
1/23/1973,45,30,T
1/24/1973,31,18,2
1/25/1973,25,18,3
1/26/1973,40,23,1
1/27/1973,55,37,T
1/28/1973,41,35,0
1/29/1973,37,14,3
1/30/1973,M,M,5
1/31/1973,M,M,0
12/1/1973,50,25,T
12/2/1973,43,22,0
12/3/1973,55,33,0
12/4/1973,59,47,0
12/5/1973,58,43,0
12/6/1973,54,26,0
12/7/1973,38,19,0
12/8/1973,29,22,0
12/9/1973,32,22,9
12/10/1973,30,M,9
12/11/1973,M,19,M
12/12/1973,M,M,M
12/13/1973,33,10,M
12/14/1973,34,21,M
12/15/1973,24,18,M
12/16/1973,25,11,M
12/17/1973,24,6,16
12/18/1973,15,6,16
12/19/1973,20,10,15
12/20/1973,41,18,10
12/21/1973,35,21,10
12/22/1973,24,10,10
12/23/1973,30,18,10
12/24/1973,29,M,10
12/25/1973,35,M,M
12/26/1973,M,M,M
12/27/1973,M,M,M
12/28/1973,M,28,T
12/29/1973,43,29,T
12/30/1973,39,21,T
12/31/1973,M,M,0
2/1/1973,M,M,M
2/2/1973,M,M,M
2/3/1973,M,M,M
2/4/1973,M,M,M
2/5/1973,M,M,M
2/6/1973,M,M,M
2/7/1973,M,M,M
2/8/1973,M,M,M
2/9/1973,M,M,M
2/10/1973,M,M,M
2/11/1973,M,M,M
2/12/1973,M,M,M
2/13/1973,M,M,M
2/14/1973,M,M,M
2/15/1973,M,M,M
2/16/1973,M,M,M
2/17/1973,M,M,M
2/18/1973,M,M,M
2/19/1973,M,M,M
2/20/1973,M,M,M
2/21/1973,M,M,M
2/22/1973,M,M,M
2/23/1973,M,M,M
2/24/1973,28,17,12
2/25/1973,42,15,12
2/26/1973,43,15,11
2/27/1973,35,20,10
2/28/1973,41,18,10
3/1/1973,50,21,7
3/2/1973,55,29,6
3/3/1973,46,39,T
3/4/1973,56,42,T
3/5/1973,48,40,T
3/6/1973,49,38,T
3/7/1973,47,38,T
3/8/1973,M,M,0
3/9/1973,61,42,0
3/10/1973,61,41,0
3/11/1973,59,42,0
3/12/1973,57,36,0
3/13/1973,55,33,0
3/14/1973,75,46,0
3/15/1973,80,47,0
3/16/1973,57,46,0
3/17/1973,56,18,1
3/18/1973,25,20,4
3/19/1973,26,16,5
3/20/1973,35,19,4
3/21/1973,40,25,4
3/22/1973,34,22,4
3/23/1973,42,19,1
3/24/1973,59,23,T
3/25/1973,51,38,T
3/26/1973,54,39,T
3/27/1973,56,31,0
3/28/1973,59,39,0
3/29/1973,55,44,0
3/30/1973,55,44,0
3/31/1973,50,43,0
1/1/1974,M,M,0
1/2/1974,M,M,0
1/3/1974,30,11,2
1/4/1974,30,15,2
1/5/1974,28,11,2
1/6/1974,26,19,2
1/7/1974,25,19,3
1/8/1974,21,4,3
1/9/1974,38,16,4
1/10/1974,42,27,1
1/11/1974,49,23,1
1/12/1974,35,7,3
1/13/1974,15,2,3
1/14/1974,36,11,2
1/15/1974,44,31,T
1/16/1974,50,29,T
1/17/1974,45,31,T
1/18/1974,47,30,T
1/19/1974,52,39,T
1/20/1974,41,31,T
1/21/1974,48,33,0
1/22/1974,47,35,0
1/23/1974,53,30,0
1/24/1974,52,25,0
1/25/1974,40,24,0
1/26/1974,50,32,0
1/27/1974,56,36,0
1/28/1974,54,36,0
1/29/1974,49,30,0
1/30/1974,48,31,0
1/31/1974,52,34,0
12/1/1974,M,M,M
12/2/1974,32,18,M
12/3/1974,31,20,M
12/4/1974,M,M,0
12/5/1974,28,13,0
12/6/1974,31,24,0
12/7/1974,M,M,0
12/8/1974,43,24,S
12/9/1974,M,M,0.98A
12/10/1974,M,M,0
12/11/1974,M,M,0
12/12/1974,45,19,0.19
12/13/1974,35,33,0.01
12/14/1974,35,27,0.13
12/15/1974,31,23,0
12/16/1974,36,28,0
12/17/1974,36,25,0.05
12/18/1974,32,16,0.2
12/19/1974,26,16,0.04
12/20/1974,34,18,0.13
12/21/1974,32,18,0
12/22/1974,36,25,0.14
12/23/1974,41,21,0
12/24/1974,46,37,0.45
12/25/1974,M,M,0.57
12/26/1974,35,18,0.05
12/27/1974,30,17,0
12/28/1974,33,28,0.04
12/29/1974,34,28,0
12/30/1974,42,33,0.01
12/31/1974,37,25,0
,,,
2/1/1974,50,17,0
2/2/1974,33,27,0
2/3/1974,30,20,T
2/4/1974,29,10,T
2/5/1974,17,7,T
2/6/1974,32,13,T
2/7/1974,36,12,T
2/8/1974,22,13,T
2/9/1974,29,6,0
2/10/1974,23,4,4
2/11/1974,25,2,6
2/12/1974,42,17,3
2/13/1974,52,28,T
2/14/1974,M,M,T
2/15/1974,35,15,T
2/16/1974,31,14,T
2/17/1974,42,18,T
2/18/1974,41,20,0
2/19/1974,44,29,0
2/20/1974,50,23,0
2/21/1974,40,27,0
2/22/1974,54,31,0
2/23/1974,52,15,T
2/24/1974,34,11,4
2/25/1974,41,5,6
2/26/1974,24,4,6
2/27/1974,41,14,3
2/28/1974,47,28,T
3/1/1974,41,21,T
3/2/1974,51,30,0
3/3/1974,65,41,0
3/4/1974,68,44,0
3/5/1974,67,37,0
3/6/1974,M,M,0
3/7/1974,M,M,0
3/8/1974,61,42,0
3/9/1974,69,37,0
3/10/1974,M,27,0
3/11/1974,40,23,T
3/12/1974,M,M,0
3/13/1974,M,M,0
3/14/1974,M,M,0
3/15/1974,43,14,0
3/16/1974,43,28,0
3/17/1974,42,20,T
3/18/1974,34,21,0
3/19/1974,43,31,0
3/20/1974,M,M,0
3/21/1974,M,M,0
3/22/1974,41,21,0
3/23/1974,52,30,0
3/24/1974,47,15,0
3/25/1974,M,M,0
3/26/1974,M,M,0
3/27/1974,M,M,0
3/28/1974,M,M,0
3/29/1974,41,26,0
3/30/1974,38,M,0
3/31/1974,38,28,1
1/1/1975,M,M,1
1/2/1975,47,21,1
1/3/1975,35,20,1
1/4/1975,35,25,1
1/5/1975,26,19,2
1/6/1975,31,18,2
1/7/1975,33,23,1
1/8/1975,42,30,1
1/9/1975,49,35,1
1/10/1975,36,30,1
1/11/1975,48,25,0
1/12/1975,54,27,0
1/13/1975,39,19,6
1/14/1975,M,M,6
1/15/1975,20,3,7
1/16/1975,21,10,7
1/17/1975,23,10,8
1/18/1975,24,20,8
1/19/1975,37,20,10
1/20/1975,M,M,M
1/21/1975,M,M,M
1/22/1975,34,2,11
1/23/1975,39,23,11
1/24/1975,35,23,10
1/25/1975,46,M,7
1/26/1975,45,24,5
1/27/1975,M,M,5
1/28/1975,36,29,4
1/29/1975,53,30,1
1/30/1975,58,24,0
1/31/1975,29,23,4
12/1/1975,61,26,T
12/2/1975,27,18,0
12/3/1975,40,12,0
12/4/1975,29,15,T
12/5/1975,50,19,0
12/6/1975,59,38,0
12/7/1975,54,22,T
12/8/1975,35,20,T
12/9/1975,40,23,T
12/10/1975,33,25,2
12/11/1975,27,15,3
12/12/1975,30,24,3
12/13/1975,34,27,3
12/14/1975,50,32,1
12/15/1975,59,28,T
12/16/1975,56,29,0
12/17/1975,30,26,0
12/18/1975,37,7,1
12/19/1975,11,-1,2
12/20/1975,23,-2,2
12/21/1975,33,21,2
12/22/1975,28,8,3
12/23/1975,17,3,3
12/24/1975,23,7,4
12/25/1975,23,7,4
12/26/1975,31,18,6
12/27/1975,39,24,4
12/28/1975,25,20,4
12/29/1975,26,20,5
12/30/1975,35,23,4
12/31/1975,46,32,M
