ObDate,Snowfall,Snowdepth,TempMax,TempMin
1970-01-03 00:00:00.0000000,1.8,2,32,25
1970-01-04 00:00:00.0000000,0.5,2,29,10
1970-01-05 00:00:00.0000000,0,1,25,9
1970-01-07 00:00:00.0000000,3.7000000000000002,4,30,16
1970-01-08 00:00:00.0000000,0.5,4,21,-3
1970-01-09 00:00:00.0000000,0.20000000000000001,4,3,-4
1970-01-10 00:00:00.0000000,0.29999999999999999,4,7,-2
1970-01-11 00:00:00.0000000,0,4,17,-6
1970-01-12 00:00:00.0000000,3.5,7,27,1
1970-01-13 00:00:00.0000000,0,6,29,20
1970-01-14 00:00:00.0000000,0,5,28,11
1970-01-15 00:00:00.0000000,0,5,30,2
1970-01-16 00:00:00.0000000,0,4,38,1
1970-01-17 00:00:00.0000000,0,3,51,6
1970-01-18 00:00:00.0000000,0,2,48,33
1970-01-19 00:00:00.0000000,0.29999999999999999,2,33,7
1970-01-20 00:00:00.0000000,0.69999999999999996,2,23,-1
1970-01-21 00:00:00.0000000,1,3,20,-1
1970-01-22 00:00:00.0000000,0,3,13,-8
1970-01-23 00:00:00.0000000,0,2,20,-8
1970-01-24 00:00:00.0000000,0.5,3,26,-6
1970-01-25 00:00:00.0000000,0.29999999999999999,2,43,-5
1970-02-03 00:00:00.0000000,0.5,1,51,22
1970-02-04 00:00:00.0000000,4,3,34,-4
1970-02-05 00:00:00.0000000,0.80000000000000004,4,28,-4
1970-02-06 00:00:00.0000000,0.5,3,37,28
1970-02-12 00:00:00.0000000,0.5,1,32,20
1970-02-13 00:00:00.0000000,0.29999999999999999,1,31,19
1970-02-15 00:00:00.0000000,0.5,1,31,15
1970-02-16 00:00:00.0000000,0,1,35,16
1970-03-13 00:00:00.0000000,2,2,33,27
1970-03-14 00:00:00.0000000,0.5,1,36,24
1970-03-15 00:00:00.0000000,0.80000000000000004,1,29,13
1970-03-16 00:00:00.0000000,0.20000000000000001,1,31,9
1970-03-29 00:00:00.0000000,2,2,58,27
1970-03-30 00:00:00.0000000,6,6,34,6
1970-03-31 00:00:00.0000000,0,1,45,11
1970-12-26 00:00:00.0000000,1,1,38,16
1970-12-27 00:00:00.0000000,0,1,26,15
1970-12-28 00:00:00.0000000,0.20000000000000001,1,28,19
1970-12-29 00:00:00.0000000,0,1,27,12
1970-12-30 00:00:00.0000000,0,1,31,13
1970-12-31 00:00:00.0000000,0,1,29,16
1971-01-01 00:00:00.0000000,3.5,4,29,21
1971-01-02 00:00:00.0000000,0,3,32,12
1971-01-03 00:00:00.0000000,0,2,39,16
1971-01-04 00:00:00.0000000,0,1,45,18
1971-01-17 00:00:00.0000000,0.69999999999999996,1,20,17
1971-01-18 00:00:00.0000000,0.29999999999999999,1,26,10
1971-01-19 00:00:00.0000000,0.10000000000000001,1,23,4
1971-01-20 00:00:00.0000000,0,1,17,1
1971-01-21 00:00:00.0000000,0,1,28,8
1971-01-27 00:00:00.0000000,1,1,45,10
1971-01-28 00:00:00.0000000,0.10000000000000001,1,15,9
1971-01-29 00:00:00.0000000,0,1,20,9
1971-01-31 00:00:00.0000000,3.5,4,30,0
1971-02-01 00:00:00.0000000,0,3,15,-1
1971-02-02 00:00:00.0000000,0,3,11,-10
1971-02-03 00:00:00.0000000,0,2,15,-10
1971-02-04 00:00:00.0000000,0,2,31,13
1971-02-09 00:00:00.0000000,5,5,35,14
1971-02-10 00:00:00.0000000,0,5,18,5
1971-02-11 00:00:00.0000000,0,4,24,5
1971-02-12 00:00:00.0000000,0,1,48,13
1971-02-14 00:00:00.0000000,6,6,36,10
1971-02-15 00:00:00.0000000,0,5,26,9
1971-02-16 00:00:00.0000000,0,4,32,22
1971-02-17 00:00:00.0000000,0,3,39,15
1971-02-18 00:00:00.0000000,0,1,45,18
1971-03-03 00:00:00.0000000,0.5,1,47,29
1971-03-04 00:00:00.0000000,7.5,8,32,17
1971-03-05 00:00:00.0000000,0.5,6,30,17
1971-03-06 00:00:00.0000000,0,4,43,22
1971-03-07 00:00:00.0000000,0,1,51,28
1971-03-08 00:00:00.0000000,1,2,37,22
1971-03-09 00:00:00.0000000,0.5,2,29,18
1971-03-12 00:00:00.0000000,1,1,39,30
1971-03-17 00:00:00.0000000,0.5,1,46,26
1971-03-20 00:00:00.0000000,0.69999999999999996,1,52,29
1971-03-21 00:00:00.0000000,3,2,36,27
1971-03-23 00:00:00.0000000,0.5,1,46,23
1971-11-22 00:00:00.0000000,1,1,37,25
1971-11-25 00:00:00.0000000,6,6,34,30
1971-11-26 00:00:00.0000000,0,4,37,18
1971-11-27 00:00:00.0000000,0,2,39,19
1971-12-18 00:00:00.0000000,1,1,39,18
1971-12-19 00:00:00.0000000,0.5,1,28,19
1972-01-06 00:00:00.0000000,0.5,1,31,18
1972-01-28 00:00:00.0000000,2.5,3,24,13
1972-01-29 00:00:00.0000000,0,2,28,18
1972-01-30 00:00:00.0000000,0,2,30,17
1972-01-31 00:00:00.0000000,0,2,33,2
1972-02-01 00:00:00.0000000,0,1,28,2
1972-02-02 00:00:00.0000000,0,1,35,20
1972-02-04 00:00:00.0000000,1,1,42,14
1972-02-05 00:00:00.0000000,0.29999999999999999,1,18,6
1972-02-06 00:00:00.0000000,0,1,29,5
1972-02-07 00:00:00.0000000,2,3,35,16
1972-02-08 00:00:00.0000000,0,2,24,-4
1972-02-09 00:00:00.0000000,0.20000000000000001,2,22,-4
1972-02-10 00:00:00.0000000,0,2,28,-1
1972-02-11 00:00:00.0000000,0,1,29,-1
1972-02-12 00:00:00.0000000,0,1,38,16
1972-02-13 00:00:00.0000000,0.5,1,54,18
1972-02-14 00:00:00.0000000,2,1,36,31
1972-02-15 00:00:00.0000000,0,1,45,27
1972-02-19 00:00:00.0000000,2,2,37,25
1972-02-20 00:00:00.0000000,3,5,30,14
1972-02-21 00:00:00.0000000,0,5,24,9
1972-02-22 00:00:00.0000000,0,2,49,19
1972-02-23 00:00:00.0000000,0,1,30,14
1972-02-24 00:00:00.0000000,0.5,1,39,14
1972-03-03 00:00:00.0000000,1,1,69,19
1972-03-04 00:00:00.0000000,0.5,1,29,5
1972-03-05 00:00:00.0000000,0,1,41,4
1972-03-10 00:00:00.0000000,0.80000000000000004,1,33,13
1972-12-01 00:00:00.0000000,1,1,35,29
1972-12-16 00:00:00.0000000,0.5,1,46,13
1972-12-17 00:00:00.0000000,0.29999999999999999,1,17,12
1972-12-18 00:00:00.0000000,0,1,26,13
1973-01-15 00:00:00.0000000,1,1,43,27
1973-01-16 00:00:00.0000000,0,1,38,32
1973-01-29 00:00:00.0000000,1,1,45,20
1973-01-30 00:00:00.0000000,0,1,27,6
1973-01-31 00:00:00.0000000,0,1,27,6
1973-02-09 00:00:00.0000000,0.69999999999999996,1,39,10
1973-02-10 00:00:00.0000000,0,1,27,8
1973-02-11 00:00:00.0000000,0,1,25,8
1973-02-16 00:00:00.0000000,0.5,1,41,14
1973-02-17 00:00:00.0000000,0.10000000000000001,1,18,-3
1973-02-22 00:00:00.0000000,0.5,1,40,18
1973-02-23 00:00:00.0000000,0.5,1,28,18
1973-03-18 00:00:00.0000000,1.5,2,54,25
1973-03-19 00:00:00.0000000,0.5,1,33,27
1973-04-11 00:00:00.0000000,0.5,1,38,28
1973-12-09 00:00:00.0000000,0.5,1,40,19
1973-12-10 00:00:00.0000000,1,1,36,30
1973-12-11 00:00:00.0000000,0,1,35,18
1973-12-12 00:00:00.0000000,0,1,26,14
1973-12-21 00:00:00.0000000,2.7000000000000002,3,51,26
1973-12-22 00:00:00.0000000,2,4,27,14
1973-12-23 00:00:00.0000000,0,3,33,19
1973-12-24 00:00:00.0000000,0,1,38,27
1974-01-09 00:00:00.0000000,1,1,38,9
1974-02-05 00:00:00.0000000,0.29999999999999999,1,28,6
1974-02-11 00:00:00.0000000,1.8,2,32,18
1974-02-12 00:00:00.0000000,0,1,33,19
1974-12-02 00:00:00.0000000,1,1,40,33
1974-12-03 00:00:00.0000000,1.2,1,36,32
1974-12-04 00:00:00.0000000,0,1,35,26
1974-12-19 00:00:00.0000000,2,2,30,25
1975-01-13 00:00:00.0000000,6.5,5,37,25
1975-01-14 00:00:00.0000000,0,4,28,10
1975-01-15 00:00:00.0000000,0,3,20,2
1975-01-16 00:00:00.0000000,0,3,29,4
1975-01-18 00:00:00.0000000,0.5,3,36,7
1975-01-19 00:00:00.0000000,1.5,1,44,31
1975-01-20 00:00:00.0000000,2.2000000000000002,3,40,18
1975-01-21 00:00:00.0000000,0,2,29,8
1975-01-22 00:00:00.0000000,0,2,39,18
1975-01-23 00:00:00.0000000,0,1,38,18
1975-01-24 00:00:00.0000000,0,1,42,19
1975-01-31 00:00:00.0000000,2.2999999999999998,2,37,32
1975-02-01 00:00:00.0000000,0.5,1,38,32
1975-02-02 00:00:00.0000000,1.2,2,35,30
1975-02-03 00:00:00.0000000,0,1,37,19
1975-02-04 00:00:00.0000000,0,1,36,19
1975-02-05 00:00:00.0000000,2.2000000000000002,1,35,23
1975-02-07 00:00:00.0000000,0.69999999999999996,1,38,21
1975-02-13 00:00:00.0000000,2.5,2,34,20
1975-03-03 00:00:00.0000000,0.69999999999999996,1,30,17
1975-03-04 00:00:00.0000000,0.40000000000000002,1,29,20
1975-03-08 00:00:00.0000000,0.59999999999999998,1,57,30
1975-03-11 00:00:00.0000000,1.2,1,32,26
1975-04-04 00:00:00.0000000,0.69999999999999996,1,45,25
1975-11-15 00:00:00.0000000,1.5,1,34,26
1975-12-22 00:00:00.0000000,0.29999999999999999,1,32,19
1976-01-08 00:00:00.0000000,4.2999999999999998,4,44,16
1976-01-09 00:00:00.0000000,0.40000000000000002,5,23,0
1976-01-10 00:00:00.0000000,0,4,11,-5
1976-01-11 00:00:00.0000000,0.20000000000000001,4,33,-3
1976-01-12 00:00:00.0000000,0.29999999999999999,3,37,25
1976-01-13 00:00:00.0000000,0,2,32,18
1976-01-22 00:00:00.0000000,1.5,2,29,19
1976-01-23 00:00:00.0000000,1,3,25,7
1976-01-27 00:00:00.0000000,0.59999999999999998,1,62,30
1976-01-28 00:00:00.0000000,5,6,37,19
1976-01-29 00:00:00.0000000,0,2,38,19
1976-01-30 00:00:00.0000000,0.20000000000000001,1,37,25
1976-01-31 00:00:00.0000000,0.80000000000000004,2,29,25
1976-02-01 00:00:00.0000000,0,1,38,26
1976-02-02 00:00:00.0000000,0,1,40,0
1976-02-03 00:00:00.0000000,0,1,15,-4
1976-02-09 00:00:00.0000000,2.2999999999999998,2,31,9
1976-02-10 00:00:00.0000000,0,1,40,7
1976-03-10 00:00:00.0000000,2.2999999999999998,2,33,29
1976-03-17 00:00:00.0000000,1.5,1,45,19
1976-11-08 00:00:00.0000000,1.3999999999999999,1,50,24
1976-11-09 00:00:00.0000000,0,1,30,14
1976-11-22 00:00:00.0000000,0.69999999999999996,1,44,19
1976-11-29 00:00:00.0000000,1.3,1,40,23
1976-11-30 00:00:00.0000000,0.29999999999999999,1,24,2
1976-12-01 00:00:00.0000000,0,1,23,5
1976-12-02 00:00:00.0000000,1.8,2,39,13
1976-12-03 00:00:00.0000000,0.20000000000000001,2,29,-8
1976-12-04 00:00:00.0000000,0,2,32,-7
1976-12-05 00:00:00.0000000,0,1,38,12
1976-12-06 00:00:00.0000000,0,1,38,11
1976-12-21 00:00:00.0000000,2.7999999999999998,3,53,14
1976-12-22 00:00:00.0000000,0,2,21,11
1976-12-23 00:00:00.0000000,0,2,31,11
1976-12-24 00:00:00.0000000,1,2,31,1
1976-12-25 00:00:00.0000000,0,1,25,1
1976-12-27 00:00:00.0000000,3.6000000000000001,4,35,15
1976-12-28 00:00:00.0000000,0,2,41,15
1976-12-29 00:00:00.0000000,0.5,2,39,19
1976-12-30 00:00:00.0000000,0.40000000000000002,2,22,-4
1976-12-31 00:00:00.0000000,0,1,23,7
1977-01-01 00:00:00.0000000,0,1,16,4
1977-01-02 00:00:00.0000000,0,1,15,7
1977-01-03 00:00:00.0000000,0,1,27,9
1977-01-04 00:00:00.0000000,0.29999999999999999,1,28,19
1977-01-05 00:00:00.0000000,0,1,31,12
1977-01-06 00:00:00.0000000,1.5,2,30,21
1977-01-07 00:00:00.0000000,3.5,6,33,26
1977-01-08 00:00:00.0000000,0.5,6,27,-8
1977-01-09 00:00:00.0000000,0,6,27,-2
1977-01-10 00:00:00.0000000,2,6,38,19
1977-01-11 00:00:00.0000000,1.3,7,38,4
1977-01-12 00:00:00.0000000,0.40000000000000002,7,15,-3
1977-01-13 00:00:00.0000000,0.20000000000000001,7,15,-16
1977-01-14 00:00:00.0000000,0.80000000000000004,7,30,-16
1977-01-15 00:00:00.0000000,2.5,9,34,24
1977-01-16 00:00:00.0000000,1,10,30,11
1977-01-17 00:00:00.0000000,0.29999999999999999,10,11,-12
1977-01-18 00:00:00.0000000,0,10,2,-12
1977-01-19 00:00:00.0000000,0,10,11,-8
1977-01-20 00:00:00.0000000,0.5,10,17,-1
1977-01-21 00:00:00.0000000,0.20000000000000001,9,28,-1
1977-01-22 00:00:00.0000000,0.5,9,24,16
1977-01-23 00:00:00.0000000,0,9,21,-11
1977-01-24 00:00:00.0000000,0,8,27,-10
1977-01-25 00:00:00.0000000,2.2999999999999998,10,34,22
1977-01-26 00:00:00.0000000,1,11,31,21
1977-01-27 00:00:00.0000000,1.5,12,32,10
1977-01-28 00:00:00.0000000,0,12,30,8
1977-01-29 00:00:00.0000000,1.5,13,43,-9
1977-01-30 00:00:00.0000000,0,13,13,-9
1977-01-31 00:00:00.0000000,0,13,15,-2
1977-02-01 00:00:00.0000000,0,12,20,2
1977-02-02 00:00:00.0000000,0,12,20,-2
1977-02-03 00:00:00.0000000,0,11,35,3
1977-02-04 00:00:00.0000000,0.20000000000000001,10,39,29
1977-02-05 00:00:00.0000000,2.5,11,35,20
1977-02-06 00:00:00.0000000,0.5,11,21,5
1977-02-07 00:00:00.0000000,0.5,11,15,4
1977-02-08 00:00:00.0000000,0,11,20,-13
1977-02-09 00:00:00.0000000,0,10,29,-13
1977-02-10 00:00:00.0000000,0,8,41,2
1977-02-11 00:00:00.0000000,0,6,52,19
1977-02-12 00:00:00.0000000,0,3,55,24
1977-02-13 00:00:00.0000000,0,1,47,27
1977-02-14 00:00:00.0000000,0.5,1,38,31
1977-02-15 00:00:00.0000000,0,1,39,21
1977-02-16 00:00:00.0000000,0,1,26,11
1977-02-17 00:00:00.0000000,0,1,24,1
1977-02-18 00:00:00.0000000,0,1,26,1
1977-02-20 00:00:00.0000000,1.7,2,43,21
1977-02-21 00:00:00.0000000,0.40000000000000002,1,32,17
1977-03-02 00:00:00.0000000,1.5,1,37,12
1977-04-06 00:00:00.0000000,0.59999999999999998,1,53,30
1977-11-13 00:00:00.0000000,0.80000000000000004,1,37,27
1977-11-26 00:00:00.0000000,0.80000000000000004,1,47,23
1977-11-27 00:00:00.0000000,0.20000000000000001,1,24,14
1977-11-28 00:00:00.0000000,2,1,37,16
1977-11-29 00:00:00.0000000,1.8,2,39,23
1977-12-07 00:00:00.0000000,1.5,1,30,5
1977-12-08 00:00:00.0000000,0,1,16,4
1978-01-03 00:00:00.0000000,0.40000000000000002,1,25,16
1978-01-06 00:00:00.0000000,1.2,1,44,24
1978-01-09 00:00:00.0000000,5.5999999999999996,6,59,14
1978-01-10 00:00:00.0000000,1,6,14,-1
1978-01-11 00:00:00.0000000,0.20000000000000001,6,7,-1
1978-01-12 00:00:00.0000000,0,5,18,-2
1978-01-13 00:00:00.0000000,1,5,26,-2
1978-01-14 00:00:00.0000000,3.2000000000000002,5,35,21
1978-01-15 00:00:00.0000000,0.20000000000000001,5,25,15
1978-01-16 00:00:00.0000000,0,5,22,14
1978-01-17 00:00:00.0000000,2.2999999999999998,7,23,14
1978-01-18 00:00:00.0000000,7,12,33,22
1978-01-19 00:00:00.0000000,0.10000000000000001,11,30,21
1978-01-20 00:00:00.0000000,7.5,18,26,20
1978-01-21 00:00:00.0000000,3,21,27,18
1978-01-22 00:00:00.0000000,0.29999999999999999,21,24,2
1978-01-23 00:00:00.0000000,0,19,28,-12
1978-01-24 00:00:00.0000000,0,17,35,-12
1978-01-25 00:00:00.0000000,0,14,45,0
1978-01-26 00:00:00.0000000,0.5,11,48,21
1978-01-27 00:00:00.0000000,1.5,12,21,9
1978-01-28 00:00:00.0000000,0.5,12,16,7
1978-01-29 00:00:00.0000000,0.59999999999999998,13,16,5
1978-01-30 00:00:00.0000000,1,13,19,10
1978-01-31 00:00:00.0000000,0,12,23,0
1978-02-01 00:00:00.0000000,0,10,21,-3
1978-02-02 00:00:00.0000000,0,9,24,-3
1978-02-03 00:00:00.0000000,0.10000000000000001,8,31,12
1978-02-04 00:00:00.0000000,0,8,28,-4
1978-02-05 00:00:00.0000000,0,8,29,-4
1978-02-06 00:00:00.0000000,1,8,29,9
1978-02-07 00:00:00.0000000,1.5,9,17,5
1978-02-08 00:00:00.0000000,0.20000000000000001,9,19,5
1978-02-09 00:00:00.0000000,0,8,29,0
1978-02-10 00:00:00.0000000,0,8,33,-5
1978-02-11 00:00:00.0000000,0,7,29,-5
1978-02-12 00:00:00.0000000,0,7,29,5
1978-02-13 00:00:00.0000000,0,6,36,8
1978-02-14 00:00:00.0000000,1.8999999999999999,7,31,13
1978-02-15 00:00:00.0000000,0,7,31,6
1978-02-16 00:00:00.0000000,0.59999999999999998,7,35,9
1978-02-17 00:00:00.0000000,0,7,40,22
1978-02-18 00:00:00.0000000,0.69999999999999996,7,35,21
1978-02-19 00:00:00.0000000,1.5,8,30,-5
1978-02-20 00:00:00.0000000,0,7,26,-7
1978-02-21 00:00:00.0000000,0,6,37,-6
1978-02-22 00:00:00.0000000,0,6,29,3
1978-02-23 00:00:00.0000000,0,6,26,-3
1978-02-24 00:00:00.0000000,0.40000000000000002,6,35,-3
1978-02-25 00:00:00.0000000,0,6,35,24
1978-02-26 00:00:00.0000000,0.80000000000000004,7,40,26
1978-02-27 00:00:00.0000000,0.40000000000000002,6,35,14
1978-02-28 00:00:00.0000000,0,6,32,11
1978-03-01 00:00:00.0000000,0.5,6,40,13
1978-03-02 00:00:00.0000000,0.20000000000000001,6,33,0
1978-03-03 00:00:00.0000000,2.8999999999999999,8,28,0
1978-03-04 00:00:00.0000000,0.59999999999999998,9,33,17
1978-03-05 00:00:00.0000000,0,8,27,0
1978-03-06 00:00:00.0000000,0,7,29,11
1978-03-07 00:00:00.0000000,0,7,34,10
1978-03-08 00:00:00.0000000,0,6,35,12
1978-03-09 00:00:00.0000000,0,6,36,28
1978-03-10 00:00:00.0000000,0,6,47,27
1978-03-11 00:00:00.0000000,0,6,50,19
1978-03-12 00:00:00.0000000,0,4,53,20
1978-03-13 00:00:00.0000000,0,3,43,33
1978-03-14 00:00:00.0000000,0,2,53,33
1978-03-15 00:00:00.0000000,0,1,57,37
1978-03-16 00:00:00.0000000,3.1000000000000001,3,41,32
1978-03-17 00:00:00.0000000,1.5,2,40,23
1978-03-18 00:00:00.0000000,0,1,37,24
1978-11-27 00:00:00.0000000,0.5,1,38,31
1978-12-10 00:00:00.0000000,0.69999999999999996,1,34,18
1978-12-11 00:00:00.0000000,0,1,23,8
1979-01-06 00:00:00.0000000,1.7,2,25,9
1979-01-07 00:00:00.0000000,1,3,30,21
1979-01-08 00:00:00.0000000,1.5,3,33,18
1979-01-09 00:00:00.0000000,0.20000000000000001,3,22,1
1979-01-10 00:00:00.0000000,0.29999999999999999,3,19,1
1979-01-11 00:00:00.0000000,0.40000000000000002,4,23,9
1979-01-12 00:00:00.0000000,1.1000000000000001,4,19,6
1979-01-13 00:00:00.0000000,0.29999999999999999,4,30,17
1979-01-14 00:00:00.0000000,0,1,45,26
1979-01-15 00:00:00.0000000,0,1,42,4
1979-01-16 00:00:00.0000000,0,1,27,4
1979-01-25 00:00:00.0000000,3.7999999999999998,4,44,17
1979-01-26 00:00:00.0000000,0.40000000000000002,4,24,19
1979-01-27 00:00:00.0000000,0,4,25,20
1979-01-28 00:00:00.0000000,4.2000000000000002,8,32,23
1979-01-29 00:00:00.0000000,1.1000000000000001,8,32,27
1979-01-30 00:00:00.0000000,0.10000000000000001,8,27,22
1979-01-31 00:00:00.0000000,0,8,27,21
1979-02-01 00:00:00.0000000,1.2,8,28,15
1979-02-02 00:00:00.0000000,0,8,20,9
1979-02-03 00:00:00.0000000,0,8,25,3
1979-02-04 00:00:00.0000000,0,8,31,8
1979-02-05 00:00:00.0000000,0,8,33,2
1979-02-06 00:00:00.0000000,0,7,17,-9
1979-02-07 00:00:00.0000000,0.10000000000000001,6,26,-9
1979-02-08 00:00:00.0000000,2.1000000000000001,7,31,14
1979-02-09 00:00:00.0000000,0.29999999999999999,7,24,-2
1979-02-10 00:00:00.0000000,0,7,16,-13
1979-02-11 00:00:00.0000000,0,7,17,-13
1979-02-12 00:00:00.0000000,0.5,7,20,-12
1979-02-13 00:00:00.0000000,6.7999999999999998,13,25,8
1979-02-14 00:00:00.0000000,0,13,20,-7
1979-02-15 00:00:00.0000000,0,12,27,-7
1979-02-16 00:00:00.0000000,0,10,33,24
1979-02-17 00:00:00.0000000,0,10,25,-15
1979-02-18 00:00:00.0000000,0,10,13,-7
1979-02-19 00:00:00.0000000,5.2000000000000002,14,20,7
1979-02-20 00:00:00.0000000,0,14,28,-8
1979-02-21 00:00:00.0000000,0,12,46,-7
1979-02-22 00:00:00.0000000,0,7,48,30
1979-02-23 00:00:00.0000000,0,5,44,33
1979-02-24 00:00:00.0000000,0,2,55,35
1979-02-25 00:00:00.0000000,0,1,42,36
1979-02-27 00:00:00.0000000,0.69999999999999996,1,37,27
1979-12-02 00:00:00.0000000,2,2,41,23
1979-12-03 00:00:00.0000000,0,2,35,7
1980-01-05 00:00:00.0000000,2.7000000000000002,3,32,23
1980-01-06 00:00:00.0000000,1.2,4,32,5
1980-01-07 00:00:00.0000000,0,2,41,5
1980-01-25 00:00:00.0000000,3.7999999999999998,4,30,10
1980-01-26 00:00:00.0000000,0,1,44,13
1980-01-27 00:00:00.0000000,0,1,33,13
1980-01-28 00:00:00.0000000,0,1,34,19
1980-01-31 00:00:00.0000000,0.80000000000000004,1,25,12
1980-02-01 00:00:00.0000000,0.5,1,23,10
1980-02-02 00:00:00.0000000,0,1,22,2
1980-02-03 00:00:00.0000000,0,1,24,-3
1980-02-04 00:00:00.0000000,0,1,25,-3
1980-02-05 00:00:00.0000000,0,1,26,3
1980-02-16 00:00:00.0000000,1.3999999999999999,1,37,25
1980-02-17 00:00:00.0000000,0,1,31,5
1980-02-28 00:00:00.0000000,0.80000000000000004,1,33,20
1980-02-29 00:00:00.0000000,0.40000000000000002,1,32,8
1980-03-02 00:00:00.0000000,0.80000000000000004,1,14,-1
1980-03-13 00:00:00.0000000,1.8,2,34,17
1980-03-14 00:00:00.0000000,1.2,2,36,27
1980-03-15 00:00:00.0000000,0.20000000000000001,1,34,20
1980-12-12 00:00:00.0000000,1.6000000000000001,1,33,24
1980-12-25 00:00:00.0000000,2.7999999999999998,1,35,2
1980-12-26 00:00:00.0000000,0,1,15,-5
1980-12-27 00:00:00.0000000,0,1,27,3
1980-12-28 00:00:00.0000000,0,1,33,10
1980-12-29 00:00:00.0000000,0,1,46,10
1981-01-01 00:00:00.0000000,1.6000000000000001,1,35,28
1981-01-02 00:00:00.0000000,2.2000000000000002,3,35,25
1981-01-03 00:00:00.0000000,0.80000000000000004,4,29,14
1981-01-04 00:00:00.0000000,0.59999999999999998,4,31,-3
1981-01-05 00:00:00.0000000,0,4,9,-2
1981-01-06 00:00:00.0000000,0,3,19,0
1981-01-07 00:00:00.0000000,1.8,5,35,14
1981-01-08 00:00:00.0000000,0.20000000000000001,5,29,-11
1981-01-09 00:00:00.0000000,0,5,21,-11
1981-01-10 00:00:00.0000000,0.29999999999999999,4,26,8
1981-01-11 00:00:00.0000000,0,4,20,1
1981-01-12 00:00:00.0000000,0.20000000000000001,4,17,-8
1981-01-13 00:00:00.0000000,0.29999999999999999,4,18,-8
1981-01-14 00:00:00.0000000,0.20000000000000001,4,26,14
1981-01-15 00:00:00.0000000,1.5,5,37,21
1981-01-16 00:00:00.0000000,0.69999999999999996,6,33,25
1981-01-17 00:00:00.0000000,0.59999999999999998,6,31,16
1981-01-18 00:00:00.0000000,0,6,31,7
1981-01-19 00:00:00.0000000,0,5,32,7
1981-01-20 00:00:00.0000000,0,4,43,8
1981-01-21 00:00:00.0000000,0,2,47,25
1981-01-22 00:00:00.0000000,0,2,40,33
1981-01-23 00:00:00.0000000,0,1,35,31
1981-01-24 00:00:00.0000000,0.29999999999999999,1,35,30
1981-01-25 00:00:00.0000000,0,1,35,17
1981-02-06 00:00:00.0000000,0.40000000000000002,1,25,3
1981-02-08 00:00:00.0000000,0.80000000000000004,1,44,22
1981-02-09 00:00:00.0000000,2.7999999999999998,3,36,7
1981-02-10 00:00:00.0000000,0,2,31,7
1981-02-12 00:00:00.0000000,4.7999999999999998,4,58,-5
1981-02-13 00:00:00.0000000,0,2,19,-5
1981-02-14 00:00:00.0000000,0,1,36,-3
1981-03-06 00:00:00.0000000,0.20000000000000001,1,37,29
1981-03-19 00:00:00.0000000,0.59999999999999998,1,36,15
1981-03-20 00:00:00.0000000,1.2,1,30,20
1981-03-21 00:00:00.0000000,0.80000000000000004,1,36,21
1981-11-21 00:00:00.0000000,2,2,50,30
1981-11-24 00:00:00.0000000,0.80000000000000004,1,41,24
1981-12-09 00:00:00.0000000,0.80000000000000004,1,43,25
1981-12-10 00:00:00.0000000,0.20000000000000001,1,29,22
1981-12-11 00:00:00.0000000,0.80000000000000004,1,29,21
1981-12-12 00:00:00.0000000,0,1,28,23
1981-12-15 00:00:00.0000000,1.8999999999999999,2,32,22
